location_id,name,lat,lng,type,area,built_year,heritage_status,vibe_category,building_age,heritage_density,tourist_attraction_density,distance_to_heritage_precinct,historical_significance,commercial_density,distance_to_transport,green_space_density,pedestrian_area_density,conservation_score,weekday_visitors,weekend_visitors,tourist_season_visitors,guided_tour_frequency,photography_permits_daily,historic_building_density,modern_development_ratio,green_heritage_space,stone_masonry_coverage,tourist_infrastructure,avg_building_height,heritage_building_density,architectural_uniformity,facade_preservation_score,courtyard_open_space,heritage_signage_density,restoration_activity,tourist_pathway_density,international_tourist_appeal,domestic_tourist_appeal,photography_popularity,educational_value,cultural_events_frequency,heritage_walk_inclusion,structural_integrity,maintenance_frequency,restoration_budget_index,conservation_priority,architectural_significance,peak_visiting_hours,seasonal_variation,guided_tour_availability,vibe_intensity,confidence_score,distance_to_heritage_district,architectural_era_score,heritage_age_significance,heritage_importance_score,heritage_walk_accessibility,tourism_infrastructure_score,walking_tour_frequency,hashtag_trend_strength,heritage_hashtag_alignment,distance_to_congestion_hotspot,congestion_impact_score,infrastructure_stress_indicator,peak_hour_chaos_prediction,is_weekend,current_month,is_monsoon,is_tourist_season,heritage_season_boost,weekend_heritage_boost,heritage_walk_timing_alignment,contextual_vibe_intensity,original_vibe_intensity
OS_001,Gateway of India,18.922,72.8347,Colonial Monument,Colaba,1924,UNESCO World Heritage,Kickin' it old school,100,11.20954761,19.00072377,0,6.456652133,13.61065085,390.8330476,10.07606095,4.733293199,9.566970346,5337,21469,37954,6,6,0.85719492,0.622685689,0.270449204,0.242860319,0.01183515,7.572132083,93.18987218,0.718288746,0.529862328,0.157308881,10.10641027,0.253773869,4.80587253,10,9.900497499,11.27661102,8.884708212,4,1,9.591712972,5.184498753,6.302285985,9.656817064,10.7,10:00-17:00,0.235037215,1,5,0.967614368,594.0398152,7.5,5,10,10,3.54904194,14,3,6,10775.56394,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.878678146,5
OS_002,Chhatrapati Shivaji Terminus,18.9401,72.835,Colonial Railway,Fort,1887,UNESCO World Heritage,Kickin' it old school,137,15.49405963,6.062831696,677.7825572,8.3945288,15.3691586,108.2952076,11.02259756,15.28782409,9.404994663,103162,65116,81927,3,5,0.825375718,0.3933267,0.159876941,0.205066489,0.456553685,3.321625677,80.05240211,0.651444773,0.777923246,-0.026929192,8.075162703,0.178769617,14.69716688,9.81765709,9.085312163,5.631003018,9.194808786,2,1,9.713822216,3.169039108,0.971191299,10.03489791,9.7,07:00-22:00,0.316862656,1,5,1.034998861,580.2278409,8.5,6.85,10,0,0.896902694,0,3,6,8779.696792,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.054767702,5
OS_003,Taj Mahal Palace Hotel,18.9216,72.8331,Colonial Hotel,Colaba,1903,Grade I Heritage,Kickin' it old school,121,11.86228553,8.247689373,940.8403746,7.809620188,14.03632756,168.5495801,4.321611192,8.476643098,8.159234279,1258,1995,2845,3,2,0.478417992,0.729506511,0.063152956,0.459822962,0.302010172,5.609707289,45.70116337,1.04386064,0.697164625,0.032932623,9.846541222,0.094532337,16.41540602,7.848642611,6.83443733,7.284076734,8.780083304,2,1,3.825686846,5.15879983,9.791049712,8.221926926,7.5,10:00-17:00,0.262817985,1,4.17,0.822252389,591.2790685,8,6.05,9,10,3.795633564,14,3,6,10837.00819,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.177266879,4.17
OS_004,High Court of Bombay,18.9292,72.8317,Colonial Government,Fort,1878,Grade I Heritage,Kickin' it old school,146,9.909632627,5.572077292,1106.838604,8.766900516,10.0870512,455.093514,10.63352075,14.81015682,8.907012498,5155,2034,3700,1,3,0.740995007,0.508185354,0.16774286,0.533863104,0.32473341,3.706056596,54.57218664,0.909142363,0.809432148,0.114317762,4.089044061,0.013759087,10.27067681,9.004875255,9.063915244,9.841121185,10.54599912,1,1,6.565986337,3.528978861,10.50670282,8.062304419,9.5,10:00-17:00,0.500588673,1,4.63,1.047400596,251.58849,8.5,7.3,9,10,4.852555724,17.5,3,6,10020.13031,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.659034995,4.63
OS_005,University of Mumbai,18.9292,72.8317,Colonial Education,Fort,1857,Grade I Heritage,Kickin' it old school,167,7.609652144,7.964969611,59.19248436,9.690609437,10.9532148,1066.81908,9.974935117,16.89584034,8.823366037,1122,1644,4235,6,1,0.775142121,0.536067894,0.205201663,0.345344801,0.207435438,4.658102498,73.59183573,0.679526236,0.536729504,0.063969906,0.921328261,0.197330734,12.81283222,7.68733496,6.847985231,10.1341158,9.652632012,1,1,8.482988004,4.977219378,5.126724465,8.402312076,7,10:00-17:00,0.32536039,1,4.31,0.716236787,251.58849,8.5,8.35,9,10,4.852555724,17.5,3,6,10020.13031,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.406142728,4.31
OS_006,Mumbai Municipal Corporation Building,18.9314,72.8311,Colonial Government,Fort,1893,Grade I Heritage,Kickin' it old school,131,7.152094147,10.02560095,1377.423469,10.10285071,13.72567792,145.571002,8.830910406,12.80265063,8.416299252,6128,2074,4509,6,1,0.603118236,0.526969451,0.104047401,0.458869593,0.247828785,4.081467948,107.487135,0.810733188,0.899901791,0.008032786,11.98869163,0.164610016,16.95509064,8.728412004,7.31830616,7.687767767,8.97602866,1,1,5.939942731,4.266454186,7.390534098,8.70238539,8.5,10:00-17:00,0.502709522,1,4.5,0.798080826,0,8.5,6.55,9,10,4.550022991,21,3,6,9787.786293,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.535876552,4.5
OS_007,St. Thomas Cathedral,18.9314,72.8311,Colonial Church,Fort,1718,Grade I Heritage,Kickin' it old school,306,16.84818964,6.056699118,1012.679552,10.42128224,4.593849727,1088.138993,16.46049702,6.910927065,8.461147367,977,5466,5075,5,0,0.877914451,0.316895672,0.24754832,0.451113367,0.172894539,3.50952375,53.34503273,0.711263343,0.737546103,0.009881912,8.985382673,0.122796299,11.24447731,6.467437689,6.299850329,7.844341488,9.058683054,3,1,5.759399337,4.329897586,6.130903552,9.063024622,6,10:00-17:00,0.180434406,1,4.21,0.928276755,0,9.5,10,9,10,4.550022991,21,3,6,9787.786293,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.413258952,4.21
OS_008,Asiatic Society Library,18.927,72.8324,Colonial Library,Fort,1804,Grade II Heritage,Kickin' it old school,220,6.068500095,6.837685924,505.9482333,10.10973634,11.40091727,340.49698,13.86979623,9.130602574,6.728542414,792,748,2032,4,4,0.690721962,0.531516094,0.153651335,0.39210937,0.313314656,4.241089707,60.32083836,1.005975473,0.856606148,0.071095168,9.86879936,0.226265049,4.148140353,5.635007201,5.589856107,10.12563483,8.827148619,5,0,7.549442459,3.760092854,5.646160314,6.572842903,6,10:00-17:00,0.243210362,0,3.8,0.901257552,11.06911986,9.5,10,7.5,8.711820537,4.130136329,17.5,3,6,10252.06795,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,2.812491541,3.8
OS_009,General Post Office,18.9379,72.8354,Colonial Post,Fort,1913,Grade II Heritage,Kickin' it old school,111,8.471136909,7.404982821,946.8776556,7.713402426,6.738564236,801.6932351,9.378222046,13.19190521,7.11393328,1024,1633,3726,2,0,0.780640326,0.141069416,-0.026378231,0.283709342,0.33474427,1.124378466,54.72696221,0.506912512,0.730675238,0.069661868,7.436996616,0.166643306,6.925233954,5.655468105,5.895198347,9.099431372,8.859660079,2,1,8.572906117,2.014289081,10.1275369,7.512843645,6,10:00-17:00,0.306889411,0,3.53,0.789220462,484.5226317,8,5.55,7.5,0,0.427086154,0,3,6,9017.101416,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,1.822914212,3.53
OS_010,Prince of Wales Museum,18.9269,72.8324,Colonial Museum,Fort,1922,Grade I Heritage,Kickin' it old school,102,19.83854298,6.206287449,599.4138723,8.610738362,13.36095545,606.0454605,11.51693032,10.60414747,8.572108022,3997,14693,17089,2,1,0.396398826,0.244886289,0.322163007,0.349445965,0.348043468,4.786087605,24.83003718,0.874288129,0.920338552,0.081872689,10.01692812,0.180721971,12.73949172,5.647849387,5.263961564,8.724752793,7.499226335,3,1,7.398928721,3.90925772,1.87057351,8.764259573,6,10:00-17:00,0.1966761,1,4.92,0.951657391,0,7.5,5.1,9,8.416965755,4.098793775,17.5,3,6,10263.05138,0,0,0,FALSE,5,FALSE,FALSE,0.8,1,1,3.592763053,4.92
