location_id,name,lat,lng,type,area,daily_footfall,peak_multiplier,vibe_category,transport_infrastructure_density,road_network_complexity,commercial_activity_density,multimodal_transport_access,crowd_management_score,building_density_per_hectare,pedestrian_infrastructure_score,parking_infrastructure_score,morning_rush_footfall,mid_morning_footfall,lunch_footfall,afternoon_footfall,evening_rush_footfall,night_footfall,peak_congestion_duration_hours,weekend_variation_ratio,monsoon_impact_score,festival_crowd_multiplier,crowd_density_stress,noise_level_estimate,air_quality_impact,infrastructure_strain_score,emergency_response_accessibility,urban_heat_island_effect,business_density_score,economic_activity_index,employment_hub_score,retail_commercial_ratio,service_sector_density,informal_economy_score,land_value_impact,digital_infrastructure_score,accessibility_score,safety_security_score,waste_management_efficiency,energy_consumption_index,network_centrality_score,inter_district_connectivity,last_mile_connectivity,transport_mode_diversity,vibe_intensity,data_collection_date,confidence_score
CH_001,Churchgate Station,18.9314,72.8289,Terminus Station,Churchgate,500000,3.2,Chaotic Hustle,19.204135360002745,11.934240925902172,13.608768963184376,7.3368985861077105,8.744709486577635,65.7520547252193,5.960969783745972,3.272625859292672,235573,51263,49555,47126,334073,27203,4.516923016072593,0.8123587871386948,6.503573733674963,1.9272533792286115,6.534744521616369,9.466396240171635,5.866072826494188,7.326911288744962,5.988580067211423,6.133931527652645,5.617463430579783,100.0,2.8208015269975113,0.24534985282201277,7.097546378775665,6.336289565834335,6.5759380969198915,7.975795326703046,3.0801043141953475,6.868869937592049,6.998631075481674,9.851710699166148,9.636598556957093,8.535488911029425,8.851032432847619,10.518684478190975,5.0,2024-12-10,0.8337576932180687
CH_002,Mumbai Central,18.9689,72.8197,Major Junction,Mumbai Central,350000,2.8,Chaotic Hustle,17.431859916109715,9.008576550631085,12.41581442215402,2.828526399220648,3.3738009172932815,83.3562003021118,7.2968545921520205,3.24102869325575,209817,52889,54725,46682,230370,37059,3.777978851326876,0.8881583036270577,4.769670091817579,1.786059155737188,4.551237678258988,9.352217811053233,8.039829148605236,4.094585395229754,6.178341264222693,7.781966998488096,6.797601995515719,100.0,5.008979924958324,0.41912054464776105,4.789413222572094,6.11682569881327,5.301287757416237,7.382874376030039,5.801135382784587,3.223986776803686,4.4458757590383975,6.788554549176891,9.017063778204554,5.659296245542924,4.072484351161933,3.0053020969454787,3.98,2024-12-10,0.8636341570129781
CH_003,Dadar Station,19.0189,72.8467,Junction Station,Dadar,650000,3.5,Chaotic Hustle,23.217904746501947,11.126709662299543,12.815518639536176,10.9932385215104,6.444179058589156,104.14931731986098,4.730767531782672,1.7020360539212374,517563,69934,82885,108748,617539,58991,2.983023959073599,0.8194809852630938,8.559970603038938,3.273434361909505,9.440344676594092,8.525358133388522,6.861765828863045,6.235406686058043,8.2848953672182,5.699511149533842,5.543511394188435,100.0,5.29480400214334,0.4743376081713499,4.806036802621669,7.3246494989614765,6.071838665633963,7.416337430714693,5.819134757965155,8.214962168134054,3.5659970025632486,10.0,8.473849003372935,9.044723987222332,4.656134274985605,6.923295709361004,5.0,2024-12-10,0.9130420074189081
CH_004,Bandra Station,19.0544,72.8409,Suburban Hub,Bandra,400000,2.9,Chaotic Hustle,7.902150094674384,7.845345239055563,10.549931148174164,4.793581483884555,4.61714047985986,68.12941747961679,4.673787908700284,3.5046049313514427,193674,46561,59048,63960,329271,29095,2.8748464123428508,0.7705889909804258,4.81701132217124,1.7189548461901694,5.6873553516730295,7.7882934383267495,6.267871998798669,4.85742870249037,6.229098844096579,8.069361315182725,6.299094226282131,100.0,4.802446859475723,0.4329843044505416,4.339720885217615,7.1507581954257295,6.9852627008124335,2.8927727793531837,0.15675484091189062,4.779021588559767,2.853053105433227,8.132053493810009,7.537793691609609,9.117408722943113,7.73358306335198,5.756020713761622,4.1,2024-12-10,0.9916332755293853
CH_005,Andheri Station,19.1197,72.8467,Major Hub,Andheri,750000,3.8,Chaotic Hustle,15.097466788214177,10.275226967304434,15.887822405637635,8.811142084446056,10.0,91.67294239584858,5.172515762278988,2.831613405309247,559019,61860,126690,121017,650489,56291,3.6106818124800326,0.9684529584995341,5.022396568068221,1.4542915225516815,9.77933228095754,8.446707480144408,5.69452498027298,7.36369508161644,5.838250694263438,5.4926329773161315,5.70066158063056,100.0,6.0628160327371825,0.6090824425961432,1.8099667455720936,4.295978956411736,9.1939865077234,5.437077197255043,3.8931493853227543,8.76298480644072,6.631012184635171,10.0,10.005028239263234,8.03738180008682,5.025251049583765,10.2106091904021,5.0,2024-12-10,0.8065777545809666
CH_006,Kurla Station,19.0689,72.8792,Junction Station,Kurla,300000,2.6,Chaotic Hustle,16.888704277687538,13.042648097636505,22.248791102738608,8.399118433024341,1.973013606322164,72.67933841895568,5.245929334049535,7.705160534763635,114476,32331,44679,46710,230832,24059,3.3907071575058554,0.43208238037492785,3.3532964951961155,1.624767711805137,5.0787546192310735,8.08521395698868,6.952707145063682,2.6281599364956656,10.0,6.312887220054261,6.079531700015541,100.0,4.395006634696459,0.24971174587009198,4.760155661348728,6.833181803624371,6.493165607415276,6.783760399963676,4.7539156799946385,5.238258495127981,3.131640949871956,6.023466296205026,5.244691138973328,5.255517045186559,10.223134387823997,7.644922680629079,4.81,2024-12-10,0.826575829589365
CH_007,Thane Station,19.1875,72.9781,Terminus Station,Thane,450000,3.1,Chaotic Hustle,17.088619759677336,8.865293329767674,24.008669475513095,8.102503025705643,6.811060633263155,90.78126198913408,6.330277911512783,3.9467685104437304,252177,37067,63350,47356,390695,22555,4.154010308923673,0.6191956004656652,6.0951987317012835,2.1901247607076746,5.619186970056687,9.30925553971754,6.902672725063851,7.114941305042097,8.763376371634068,6.754534351824907,6.362233700668305,100.0,4.846031119370793,0.48673677665034504,5.308816974003089,8.829886482726929,5.6754780477699684,6.851354531076677,4.644909100432098,4.276249550688972,4.643091186576573,9.041751872217828,6.9910851920955235,7.544938274653651,9.18598085041117,7.799967563638894,5.0,2024-12-10,0.9051242881415479
CH_008,Borivali Station,19.23,72.8567,Major Station,Borivali,320000,2.7,Chaotic Hustle,4.790026256099439,10.85242898154027,18.744132071441097,4.395268618279532,3.055741888509945,57.01559485680893,6.469028956149102,5.352680647299739,218530,35631,51528,44021,181039,27738,3.851433473189446,0.7736407714373058,7.199277102959805,2.118912401732506,4.554304646518172,8.392054421603877,7.814899148768974,3.4433617661825515,6.174613969375106,6.012693289330386,5.424281894888839,100.0,5.309444881863608,0.4688793320647662,7.222011006911455,7.114631053764598,6.337298871676595,6.64868668873543,6.60137221738198,5.060223279769581,4.899053909132448,6.317909562248286,6.068832336256753,6.518383499711383,6.116950481412881,5.1950146933683845,3.89,2024-12-10,0.8744251125857878
CH_009,Virar Station,19.4559,72.8111,Terminus Station,Virar,280000,2.5,Chaotic Hustle,21.40027220270962,14.955065941381907,21.373544212261447,7.775468120929185,4.597217937340976,85.96742560342473,6.784637321248313,5.621406348366164,130101,23761,29007,30577,157780,18802,5.326806151780043,1.1309749731359025,8.26615191686558,1.6531109681778196,4.2382574912262205,8.48556903897828,7.371110601185433,3.679627838186035,9.33765720591585,7.024344209721053,5.66950059502901,100.0,4.3152333488708665,0.48808265573786497,5.590904614946892,6.6094803813985115,6.327953446255663,5.402288010703066,7.293293326562123,4.117240962386296,3.666332294855718,5.268737268371972,5.468679733050159,4.618217421198268,7.405548381490837,6.931754828689583,4.69,2024-12-10,0.8522396311915759
CH_010,Ghatkopar Metro,19.0856,72.9056,Metro Hub,Ghatkopar,150000,2.8,Chaotic Hustle,14.250099608719323,8.3889030954703,14.644186150844995,8.368577300482203,1.3071214415183445,95.59044478453279,5.705399243871018,6.123325481970379,78400,23168,23281,21484,126983,12235,4.252079169238151,0.8072988790644472,6.630367279538024,1.0887310517535038,1.5718681909371512,7.443618204565131,5.877964028942698,1.746729217224258,5.8533121256491185,5.861978270543444,6.631635433672464,100.0,5.02653413824498,0.5308061941050267,5.773283038732629,7.248274197604897,6.999686181345204,10.870070695527911,8.639029179929707,2.0,6.224722951700474,2.7189184067559844,4.111559415337991,5.7145878242009,10.781735130036854,7.880827738789943,4.3,2024-12-10,0.9858116008810793
CH_011,Andheri Metro,19.1197,72.8467,Metro Station,Andheri,120000,2.5,Chaotic Hustle,16.941692762391206,16.658548944885304,17.927532842641575,4.031169886969671,1.0,87.5611546140979,8.793854555885016,5.224160992066786,54022,13876,19423,16769,68943,10881,2.8269330326045603,0.476761691395832,1.6917213916777367,2.3370275085661385,1.1783396462665892,7.384810973073575,6.150657137209055,1.507279598344059,7.181550003397291,3.6506804091069487,6.279920410453032,100.0,4.205229882235353,0.08281522909671624,5.576486991067419,5.7979757028203505,5.967959977207995,6.326636796976798,6.645672492427252,3.7761804144518973,8.808179159863121,3.3819394808062424,6.016037985968376,9.937724417226374,9.467259598376577,3.7910183381671674,3.79,2024-12-10,0.8505422346278316
CH_012,Versova Metro,19.1317,72.8128,Metro Station,Versova,80000,2.2,Chaotic Hustle,9.486116302823902,13.029899411198302,21.715504792280953,4.88011479326202,1.0,106.4737464158199,8.234026737370968,0.8909915951838503,34993,11167,8523,11291,54759,7758,2.959076408254845,0.7005572072559896,1.6321056647724594,2.2966709620118824,0.7322798314822832,6.592575252241416,6.928330088507034,0.7396349012341416,9.661861073468742,7.650080355598572,5.3570500691858,85.95143025026242,4.3988755920483396,0.8257097651538348,7.02011699710236,6.498291612527759,7.099538550704823,8.18184609655992,7.4138486131766586,2.0,7.757388898111157,3.5182440809369195,5.561518936920845,5.830095430492427,7.948861158094461,5.394970465987701,3.7,2024-12-10,0.7875988422543062
CH_013,Airport Metro,19.0896,72.8656,Metro Station,Airport,90000,1.8,Chaotic Hustle,12.97718265875894,13.134418623590836,15.70945140997435,5.220930734118678,1.0,76.29704633968052,8.759909031513823,1.2569224188145873,27756,10242,13456,14666,35050,8342,3.1943923098702487,0.7942193858369562,3.3432635309623993,2.242589427573913,0.9742657688596378,7.490822031425864,6.653961434308905,1.056772759937655,10.0,4.093474600876418,5.877911925537928,84.42082714692297,4.315154984898624,0.06389788335284458,6.446776922054838,6.71447792104577,6.616274758182598,7.923094895132419,7.312773539271813,4.412119059014769,7.733436485151231,1.3352464154060484,5.859376156917891,6.174414686379592,7.414381145543578,5.652065333920283,3.58,2024-12-10,0.9756935938131059
